#Firmware: Tuareg V0.2 2020.10
event,fraction,Timestamp,time
Id,us,ms,ms
3.0,470.0,133533.0,133533.47
2.0,410.0,133538.0,133538.4
1.0,589.0,133544.0,133544.6
0.0,577.0,133545.0,133545.58
7.0,701.0,133555.0,133555.7
6.0,687.0,133556.0,133556.69
MARK 006
1.0,567.0,136567.0,136567.56
0.0,555.0,136568.0,136568.56
7.0,678.0,136578.0,136578.67
6.0,665.0,136579.0,136579.67
5.0,790.0,136589.0,136589.8
4.0,783.0,136590.0,136590.78
3.0,904.0,136600.0,136600.9
2.0,844.0,136605.0,136605.84
1.0,23.0,136612.0,136612.02
0.0,11.0,136613.0,136613.02
7.0,134.0,136623.0,136623.14
6.0,121.0,136624.0,136624.12
5.0,245.0,136634.0,136634.25
4.0,237.0,136635.0,136635.23
3.0,359.0,136645.0,136645.36
2.0,299.0,136650.0,136650.3
1.0,478.0,136656.0,136656.48
0.0,466.0,136657.0,136657.47
7.0,589.0,136667.0,136667.6
6.0,576.0,136668.0,136668.58
5.0,701.0,136678.0,136678.7
4.0,694.0,136679.0,136679.69
3.0,815.0,136689.0,136689.81
2.0,755.0,136694.0,136694.75
1.0,934.0,136700.0,136700.94
0.0,922.0,136701.0,136701.92
7.0,45.0,136712.0,136712.05
6.0,32.0,136713.0,136713.03
5.0,156.0,136723.0,136723.16
4.0,148.0,136724.0,136724.14
MARK 007
7.0,24.0,139735.0,139735.03
6.0,10.0,139736.0,139736.02
5.0,135.0,139746.0,139746.14
4.0,126.0,139747.0,139747.12
3.0,248.0,139757.0,139757.25
2.0,188.0,139762.0,139762.19
1.0,367.0,139768.0,139768.36
0.0,355.0,139769.0,139769.36
7.0,479.0,139779.0,139779.48
6.0,466.0,139780.0,139780.47
5.0,591.0,139790.0,139790.6
4.0,583.0,139791.0,139791.58
3.0,704.0,139801.0,139801.7
2.0,644.0,139806.0,139806.64
1.0,823.0,139812.0,139812.83
0.0,811.0,139813.0,139813.81
7.0,935.0,139823.0,139823.94
6.0,922.0,139824.0,139824.92
5.0,46.0,139835.0,139835.05
4.0,37.0,139836.0,139836.03
3.0,159.0,139846.0,139846.16
2.0,99.0,139851.0,139851.1
1.0,278.0,139857.0,139857.28
0.0,266.0,139858.0,139858.27
7.0,390.0,139868.0,139868.39
6.0,377.0,139869.0,139869.38
5.0,502.0,139879.0,139879.5
4.0,494.0,139880.0,139880.5
3.0,615.0,139890.0,139890.61
2.0,555.0,139895.0,139895.56
MARK 008
5.0,480.0,142902.0,142902.48
4.0,472.0,142903.0,142903.47
3.0,593.0,142913.0,142913.6
2.0,533.0,142918.0,142918.53
1.0,712.0,142924.0,142924.72
0.0,700.0,142925.0,142925.7
7.0,824.0,142935.0,142935.83
6.0,811.0,142936.0,142936.81
5.0,935.0,142946.0,142946.94
4.0,926.0,142947.0,142947.92
3.0,48.0,142958.0,142958.05
2.0,988.0,142962.0,142962.98
1.0,167.0,142969.0,142969.17
0.0,155.0,142970.0,142970.16
7.0,279.0,142980.0,142980.28
6.0,266.0,142981.0,142981.27
5.0,391.0,142991.0,142991.39
4.0,383.0,142992.0,142992.39
3.0,504.0,143002.0,143002.5
2.0,444.0,143007.0,143007.44
1.0,623.0,143013.0,143013.62
0.0,611.0,143014.0,143014.61
7.0,735.0,143024.0,143024.73
6.0,722.0,143025.0,143025.72
5.0,846.0,143035.0,143035.84
4.0,837.0,143036.0,143036.84
3.0,959.0,143046.0,143046.95
2.0,900.0,143051.0,143051.9
1.0,78.0,143058.0,143058.08
0.0,66.0,143059.0,143059.06
MARK 009
3.0,936.0,146069.0,146069.94
2.0,877.0,146074.0,146074.88
1.0,55.0,146081.0,146081.06
0.0,43.0,146082.0,146082.05
7.0,167.0,146092.0,146092.17
6.0,154.0,146093.0,146093.16
5.0,279.0,146103.0,146103.28
4.0,272.0,146104.0,146104.27
3.0,392.0,146114.0,146114.39
2.0,333.0,146119.0,146119.33
1.0,511.0,146125.0,146125.52
0.0,499.0,146126.0,146126.5
7.0,623.0,146136.0,146136.62
6.0,610.0,146137.0,146137.61
5.0,734.0,146147.0,146147.73
4.0,726.0,146148.0,146148.72
3.0,847.0,146158.0,146158.84
2.0,788.0,146163.0,146163.78
1.0,966.0,146169.0,146169.97
0.0,954.0,146170.0,146170.95
7.0,78.0,146181.0,146181.08
6.0,65.0,146182.0,146182.06
5.0,190.0,146192.0,146192.19
4.0,183.0,146193.0,146193.19
3.0,303.0,146203.0,146203.3
2.0,244.0,146208.0,146208.25
1.0,422.0,146214.0,146214.42
0.0,410.0,146215.0,146215.4
7.0,534.0,146225.0,146225.53
6.0,521.0,146226.0,146226.52
MARK 010
1.0,401.0,149237.0,149237.4
0.0,388.0,149238.0,149238.39
7.0,512.0,149248.0,149248.52
6.0,499.0,149249.0,149249.5
5.0,623.0,149259.0,149259.62
4.0,615.0,149260.0,149260.61
3.0,737.0,149270.0,149270.73
2.0,677.0,149275.0,149275.67
1.0,856.0,149281.0,149281.86
0.0,844.0,149282.0,149282.84
7.0,967.0,149292.0,149292.97
6.0,954.0,149293.0,149293.95
5.0,79.0,149304.0,149304.08
4.0,72.0,149305.0,149305.08
3.0,193.0,149315.0,149315.19
