#Firmware: Tuareg V0.2 2020.10
Coil1,Coil1,Injector1,Injector1,Phase valid,Phase Cyl1 Comp,CIS Lobe present,Crank Position,fraction,Timestamp,time
,,,,,,,,us,ms,ms
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,2747303.0,2747303.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,2747303.0,2747303.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,2747304.0,2747304.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,790.0,2747314.0,2747314.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,777.0,2747315.0,2747315.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,783.0,2747315.0,2747315.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,902.0,2747325.0,2747326.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,909.0,2747325.0,2747326.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,894.0,2747326.0,2747327.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,2747337.0,2747337.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.0,2747338.0,2747338.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,161.0,2747338.0,2747338.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,956.0,2747341.0,2747342.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,2747348.0,2747348.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,2747348.0,2747348.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,2747348.0,2747348.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,2747349.0,2747349.0
MARK 003
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,667.0,2750427.0,2750427.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,673.0,2750427.0,2750427.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,792.0,2750437.0,2750437.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,799.0,2750437.0,2750437.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,784.0,2750438.0,2750438.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,905.0,2750448.0,2750449.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,2750450.0,2750450.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,2750450.0,2750450.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,846.0,2750453.0,2750453.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2750460.0,2750460.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2750460.0,2750460.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2750460.0,2750460.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2750461.0,2750461.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,136.0,2750471.0,2750471.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,123.0,2750472.0,2750472.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,247.0,2750482.0,2750482.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,238.0,2750483.0,2750483.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,360.0,2750493.0,2750493.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,517.0,2750494.0,2750494.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,524.0,2750494.0,2750494.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,300.0,2750498.0,2750498.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,2750504.0,2750504.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,2750504.0,2750504.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,2750504.0,2750504.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,2750505.0,2750505.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,591.0,2750515.0,2750515.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,578.0,2750516.0,2750516.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,584.0,2750516.0,2750516.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,703.0,2750526.0,2750526.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,710.0,2750526.0,2750526.8
MARK 004
0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,130.0,2753595.0,2753595.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,252.0,2753605.0,2753605.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,388.0,2753606.0,2753606.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,396.0,2753606.0,2753606.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,192.0,2753610.0,2753610.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,371.0,2753616.0,2753616.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,377.0,2753616.0,2753616.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,385.0,2753616.0,2753616.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,359.0,2753617.0,2753617.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,482.0,2753627.0,2753627.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,469.0,2753628.0,2753628.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,477.0,2753628.0,2753628.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,594.0,2753638.0,2753638.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,602.0,2753638.0,2753638.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,587.0,2753639.0,2753639.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,708.0,2753649.0,2753649.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,864.0,2753650.0,2753650.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,872.0,2753650.0,2753650.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,648.0,2753654.0,2753654.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.0,2753660.0,2753660.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.0,2753660.0,2753660.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,2753660.0,2753660.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,2753661.0,2753661.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,939.0,2753671.0,2753672.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,925.0,2753672.0,2753673.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,2753683.0,2753683.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,2753684.0,2753684.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,163.0,2753694.0,2753694.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,317.0,2753695.0,2753695.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,324.0,2753695.0,2753695.2
MARK 005
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,538.0,2756766.0,2756766.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,703.0,2756772.0,2756772.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,2756772.0,2756772.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,2756772.0,2756772.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,2756773.0,2756773.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,829.0,2756783.0,2756783.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,816.0,2756784.0,2756784.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,940.0,2756794.0,2756795.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,931.0,2756795.0,2756796.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,2756806.0,2756806.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,196.0,2756807.0,2756807.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,2756807.0,2756807.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,993.0,2756810.0,2756811.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,155.0,2756817.0,2756817.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,2756817.0,2756817.2
